"ISO3","country","region","sub.region","intermediate.region","region.code","sub.region.code","intermediate.region.code","who.region","who.region.mortality","continent","REGION","GEO3major","GEO3","GLOCAF","Stern","SRESmajor","SRES","GBD"
"GHA","Ghana","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"GIB","Gibraltar","Europe","Southern Europe",NA,150,39,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"GRC","Greece","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"GRL","Greenland","Americas","Northern America",NA,19,21,NA,NA,NA,"Eurasia","Europe","Europe","Polar","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"GRD","Grenada","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"GLP","Guadeloupe","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUM","Guam","Oceania","Micronesia",NA,9,57,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"GTM","Guatemala","Americas","Latin America and the Caribbean","Central America",19,419,13,"AMR","AMR.D","South America","South America","Latin America and the Caribbean","Meso-America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central"
"GGY","Guernsey","Europe","Northern Europe","Channel Islands",150,154,830,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"GIN","Guinea","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"GNB","Guinea-Bissau","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"GUY","Guyana","Americas","Latin America and the Caribbean","South America",19,419,5,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"HTI","Haiti","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.D","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"HMD","Heard Island and McDonald Islands","Oceania","Australia and New Zealand",NA,9,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAT","Holy See","Europe","Southern Europe",NA,150,39,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"HND","Honduras","Americas","Latin America and the Caribbean","Central America",19,419,13,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Meso-America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central"
"HKG","Hong Kong","Asia","Eastern Asia",NA,142,30,NA,NA,NA,"Eurasia","Asia","Asia and the Pacific","NW Pacific and East Asia","China","East Asia","ASIA","Other Pacific Asia (PAS)","Asia Pacific, High Income"
"HUN","Hungary","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.C","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"ISL","Iceland","Europe","Northern Europe",NA,150,154,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"IND","India","Asia","Southern Asia",NA,142,34,NA,"SEAR","SEAR.D","Eurasia","Asia","Asia and the Pacific","South Asia","India","South Asia","ASIA","South Asia (SAS)","Asia, South"
"IDN","Indonesia","Asia","South-eastern Asia",NA,142,35,NA,"SEAR","SEAR.B","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast"
"IRN","Iran (Islamic Republic of)","Asia","Southern Asia",NA,142,34,NA,"EMR","EMR.B","Eurasia","Asia","Asia and the Pacific","South Asia","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"IRQ","Iraq","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.D","Eurasia","Asia","West Asia","Mashriq","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"IRL","Ireland","Europe","Northern Europe",NA,150,154,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"IMN","Isle of Man","Europe","Northern Europe",NA,150,154,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"ISR","Israel","Asia","Western Asia",NA,142,145,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","ALM","Middle East and North Africa (MEA)","Europe, Western"
"ITA","Italy","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"JAM","Jamaica","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"JPN","Japan","Asia","Eastern Asia",NA,142,30,NA,"WPR","WPR.A","Eurasia","Asia","Asia and the Pacific","NW Pacific and East Asia","Japan","East Asia","OECD90","Pacific OECD (PAO)","Asia Pacific, High Income"
"JEY","Jersey","Europe","Northern Europe","Channel Islands",150,154,830,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"JOR","Jordan","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Mashriq","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"KAZ","Kazakhstan","Asia","Central Asia",NA,142,143,NA,"EUR","EUR.C","Eurasia","Asia","Asia and the Pacific","Central Asia","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central"
"KEN","Kenya","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"KIR","Kiribati","Oceania","Micronesia",NA,9,57,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"PRK","Korea (Democratic People's Republic of)","Asia","Eastern Asia",NA,142,30,NA,"SEAR","SEAR.D","Eurasia","Asia","Asia and the Pacific","NW Pacific and East Asia","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, East"
"KOR","Korea (Republic of)","Asia","Eastern Asia",NA,142,30,NA,"WPR","WPR.B","Eurasia","Asia","Asia and the Pacific","NW Pacific and East Asia","China","East Asia","ASIA","Other Pacific Asia (PAS)","Asia Pacific, High Income"
"KWT","Kuwait","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Mashriq","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"KGZ","Kyrgyzstan","Asia","Central Asia",NA,142,143,NA,"EUR","EUR.B","Eurasia","Asia","Asia and the Pacific","Central Asia","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central"
"LAO","Lao People's Democratic Republic","Asia","South-eastern Asia",NA,142,35,NA,"WPR","WPR.B","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, Southeast"
"LVA","Latvia","Europe","Northern Europe",NA,150,154,NA,"EUR","EUR.C","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern"
"LBN","Lebanon","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Mashriq","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"LSO","Lesotho","Africa","Sub-Saharan Africa","Southern Africa",2,202,18,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern"
"LBR","Liberia","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"LBY","Libya","Africa","Northern Africa",NA,2,15,NA,"EMR","EMR.B","Africa","Africa","Africa","North Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"LIE","Liechtenstein","Europe","Western Europe",NA,150,155,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"LTU","Lithuania","Europe","Northern Europe",NA,150,154,NA,"EUR","EUR.C","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern"
"LUX","Luxembourg","Europe","Western Europe",NA,150,155,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"MAC","Macao","Asia","Eastern Asia",NA,142,30,NA,NA,NA,"Eurasia","Asia","Asia and the Pacific","NW Pacific and East Asia","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, East"
"MKD","Macedonia (the former Yugoslav Republic of)","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.B","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"MDG","Madagascar","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.D","Africa","Africa","Africa","Western Indian Ocean","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"MWI","Malawi","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"MYS","Malaysia","Asia","South-eastern Asia",NA,142,35,NA,"WPR","WPR.B","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast"
"MDV","Maldives","Asia","Southern Asia",NA,142,34,NA,"SEAR","SEAR.D","Eurasia","Asia","Asia and the Pacific","South Asia","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, Southeast"
"MLI","Mali","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"MLT","Malta","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"MHL","Marshall Islands","Oceania","Micronesia",NA,9,57,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"MTQ","Martinique","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRT","Mauritania","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"MUS","Mauritius","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.D","Africa","Africa","Africa","Western Indian Ocean","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Asia, Southeast"
"MYT","Mayotte","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX","Mexico","Americas","Latin America and the Caribbean","Central America",19,419,13,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Meso-America","Mexico","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central"
"FSM","Micronesia (Federated States of)","Oceania","Micronesia",NA,9,57,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"MDA","Moldova (Republic of)","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.C","Eurasia","Europe","Europe","Eastern Europe","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern"
"MCO","Monaco","Europe","Western Europe",NA,150,155,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"MNG","Mongolia","Asia","Eastern Asia",NA,142,30,NA,"WPR","WPR.B","Eurasia","Asia","Asia and the Pacific","NW Pacific and East Asia","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, Central"
"MNE","Montenegro","Europe","Southern Europe",NA,150,39,NA,NA,NA,"Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"MSR","Montserrat","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"MAR","Morocco","Africa","Northern Africa",NA,2,15,NA,"EMR","EMR.D","Africa","Africa","Africa","North Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"MOZ","Mozambique","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"MMR","Myanmar","Asia","South-eastern Asia",NA,142,35,NA,"SEAR","SEAR.D","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast"
"NAM","Namibia","Africa","Sub-Saharan Africa","Southern Africa",2,202,18,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern"
"NRU","Nauru","Oceania","Micronesia",NA,9,57,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"NPL","Nepal","Asia","Southern Asia",NA,142,34,NA,"SEAR","SEAR.D","Eurasia","Asia","Asia and the Pacific","South Asia","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, South"
"NLD","Netherlands","Europe","Western Europe",NA,150,155,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"NCL","New Caledonia","Oceania","Melanesia",NA,9,54,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"NZL","New Zealand","Oceania","Australia and New Zealand",NA,9,53,NA,"WPR","WPR.A","Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia"
"NIC","Nicaragua","Americas","Latin America and the Caribbean","Central America",19,419,13,"AMR","AMR.D","South America","South America","Latin America and the Caribbean","Meso-America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central"
"NER","Niger","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"NGA","Nigeria","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"NIU","Niue","Oceania","Polynesia",NA,9,61,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"NFK","Norfolk Island","Oceania","Australia and New Zealand",NA,9,53,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"MNP","Northern Mariana Islands","Oceania","Micronesia",NA,9,57,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"NOR","Norway","Europe","Northern Europe",NA,150,154,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"OMN","Oman","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Arabian Peninsula","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"PAK","Pakistan","Asia","Southern Asia",NA,142,34,NA,"EMR","EMR.D","Eurasia","Asia","Asia and the Pacific","South Asia","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, South"
"PLW","Palau","Oceania","Micronesia",NA,9,57,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"PSE","Palestine, State of","Asia","Western Asia",NA,142,145,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","ALM","Middle East and North Africa (MEA)","Europe, Western"
"PAN","Panama","Americas","Latin America and the Caribbean","Central America",19,419,13,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Meso-America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central"
"PNG","Papua New Guinea","Oceania","Melanesia",NA,9,54,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"PRY","Paraguay","Americas","Latin America and the Caribbean","South America",19,419,5,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Tropical"
