"ISO3","country","region","sub.region","intermediate.region","region.code","sub.region.code","intermediate.region.code","who.region","who.region.mortality","continent","REGION","GEO3major","GEO3","GLOCAF","Stern","SRESmajor","SRES","GBD"
"PER","Peru","Americas","Latin America and the Caribbean","South America",19,419,5,"AMR","AMR.D","South America","South America","Latin America and the Caribbean","South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Andean"
"PHL","Philippines","Asia","South-eastern Asia",NA,142,35,NA,"WPR","WPR.B","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast"
"PCN","Pitcairn","Oceania","Polynesia",NA,9,61,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"POL","Poland","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.B","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"PRT","Portugal","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"PRI","Puerto Rico","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","OECD90","North America (NAM)","Caribbean"
"QAT","Qatar","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Arabian Peninsula","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"REU","Reunion","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROU","Romania","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.B","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"RUS","Russian Federation","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.C","Eurasia","Europe","Europe","Eastern Europe","Russia","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern"
"RWA","Rwanda","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"BLM","Saint Barthelemy","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"SHN","Saint Helena, Ascension and Tristan da Cunha","Africa","Sub-Saharan Africa","Western Africa",2,202,11,NA,NA,"Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern"
"KNA","Saint Kitts and Nevis","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"LCA","Saint Lucia","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"MAF","Saint Martin (French part)","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"SPM","Saint Pierre and Miquelon","Americas","Northern America",NA,19,21,NA,NA,NA,"North America","North America","North America","Canada","Canada","North America","OECD90","North America (NAM)","North America, High Income"
"VCT","Saint Vincent and the Grenadines","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"WSM","Samoa","Oceania","Polynesia",NA,9,61,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"SMR","San Marino","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"STP","Sao Tome and Principe","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"AFR","AFR.D","Africa","Africa","Africa","Central Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"SAU","Saudi Arabia","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Arabian Peninsula","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"SEN","Senegal","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"SRB","Serbia","Europe","Southern Europe",NA,150,39,NA,NA,NA,"Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"SYC","Seychelles","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.D","Africa","Africa","Africa","Western Indian Ocean","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Asia, Southeast"
"SLE","Sierra Leone","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"SGP","Singapore","Asia","South-eastern Asia",NA,142,35,NA,"WPR","WPR.A","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia Pacific, High Income"
"SXM","Sint Maarten (Dutch part)","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"SVK","Slovakia","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.B","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"SVN","Slovenia","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"SLB","Solomon Islands","Oceania","Melanesia",NA,9,54,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"SOM","Somalia","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"EMR","EMR.D","Africa","Africa","Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"ZAF","South Africa","Africa","Sub-Saharan Africa","Southern Africa",2,202,18,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern"
"SGS","South Georgia and the South Sandwich Islands","Americas","Latin America and the Caribbean","South America",19,419,5,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"SSD","South Sudan","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP","Spain","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"LKA","Sri Lanka","Asia","Southern Asia",NA,142,34,NA,"SEAR","SEAR.B","Eurasia","Asia","Asia and the Pacific","South Asia","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, Southeast"
"SDN","Sudan","Africa","Northern Africa",NA,2,15,NA,"EMR","EMR.D","Africa","Africa","Africa","North Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","Sub-Saharan Africa, East"
"SUR","Suriname","Americas","Latin America and the Caribbean","South America",19,419,5,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"SJM","Svalbard and Jan Mayen","Europe","Northern Europe",NA,150,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWE","Sweden","Europe","Northern Europe",NA,150,154,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"CHE","Switzerland","Europe","Western Europe",NA,150,155,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"SYR","Syrian Arab Republic","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Mashriq","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"TWN","Taiwan, Province of China","Asia","Eastern Asia",NA,142,30,NA,NA,NA,"Eurasia","Asia","Asia and the Pacific","NW Pacific and East Asia","China","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, East"
"TJK","Tajikistan","Asia","Central Asia",NA,142,143,NA,"EUR","EUR.B","Eurasia","Asia","Asia and the Pacific","Central Asia","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central"
"TZA","Tanzania, United Republic of","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"THA","Thailand","Asia","South-eastern Asia",NA,142,35,NA,"SEAR","SEAR.B","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast"
"TLS","Timor-Leste","Asia","South-eastern Asia",NA,142,35,NA,"SEAR","SEAR.B","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast"
"TGO","Togo","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"TKL","Tokelau","Oceania","Polynesia",NA,9,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TON","Tonga","Oceania","Polynesia",NA,9,61,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"TTO","Trinidad and Tobago","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"TUN","Tunisia","Africa","Northern Africa",NA,2,15,NA,"EMR","EMR.B","Africa","Africa","Africa","North Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"TUR","Turkey","Asia","Western Asia",NA,142,145,NA,"EUR","EUR.B","Eurasia","Europe","Europe","Central Europe","Turkey","Europe","OECD90","Western Europe (WEU)","North Africa/Middle East"
"TKM","Turkmenistan","Asia","Central Asia",NA,142,143,NA,"EUR","EUR.B","Eurasia","Asia","Asia and the Pacific","Central Asia","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central"
"TCA","Turks and Caicos Islands","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"TUV","Tuvalu","Oceania","Polynesia",NA,9,61,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"UGA","Uganda","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"UKR","Ukraine","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.C","Eurasia","Europe","Europe","Eastern Europe","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern"
"ARE","United Arab Emirates","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Arabian Peninsula","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"GBR","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",NA,150,154,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"USA","United States of America","Americas","Northern America",NA,19,21,NA,"AMR","AMR.A","North America","North America","North America","US","USA","North America","OECD90","North America (NAM)","North America, High Income"
"UMI","United States Minor Outlying Islands","Oceania","Micronesia",NA,9,57,NA,NA,NA,"North America","North America","North America","US","USA","North America","OECD90","North America (NAM)","North America, High Income"
"URY","Uruguay","Americas","Latin America and the Caribbean","South America",19,419,5,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Southern"
"UZB","Uzbekistan","Asia","Central Asia",NA,142,143,NA,"EUR","EUR.B","Eurasia","Asia","Asia and the Pacific","Central Asia","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central"
"VUT","Vanuatu","Oceania","Melanesia",NA,9,54,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"VEN","Venezuela (Bolivarian Republic of)","Americas","Latin America and the Caribbean","South America",19,419,5,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central"
"VNM","Viet Nam","Asia","South-eastern Asia",NA,142,35,NA,"WPR","WPR.B","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, Southeast"
"VGB","Virgin Islands (British)","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"VIR","Virgin Islands (U.S.)","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","OECD90","North America (NAM)","Caribbean"
"WLF","Wallis and Futuna","Oceania","Polynesia",NA,9,61,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"ESH","Western Sahara","Africa","Northern Africa",NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YEM","Yemen","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.D","Eurasia","Asia","West Asia","Arabian Peninsula","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"ZMB","Zambia","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"ZWE","Zimbabwe","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern"
"WSB","Akrotiri Sovereign Base Area",NA,NA,NA,NA,NA,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"Ashm","Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,"Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia"
"KAB","Baykonur Cosmodrome",NA,NA,NA,NA,NA,NA,NA,NA,"Eurasia","Europe","Europe","Eastern Europe","Russia","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern"
"CLP","Clipperton Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSI","Coral Sea Islands",NA,NA,NA,NA,NA,NA,NA,NA,"Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia"
"CNM","Cyprus No Mans Area",NA,NA,NA,NA,NA,NA,NA,NA,"Eurasia","Europe","Europe","Central Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"ESB","Dhekelia Sovereign Base Area",NA,NA,NA,NA,NA,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"Gaza","Gaza",NA,NA,NA,NA,NA,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","ALM","Middle East and North Africa (MEA)","Europe, Western"
"IOA","Indian Ocean Territories",NA,NA,NA,NA,NA,NA,NA,NA,"Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia"
"KNM","Korea No Mans Area",NA,NA,NA,NA,NA,NA,NA,NA,"Eurasia","Asia","Asia and the Pacific","NW Pacific and East Asia","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, East"
"KOS","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,"Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"CYN","Northern Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,"Eurasia","Europe","Europe","Central Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"KAS","Siachen Glacier",NA,NA,NA,NA,NA,NA,NA,NA,"Eurasia","Asia","Asia and the Pacific","South Asia","India","South Asia","ASIA","South Asia (SAS)","Asia, South"
"SOL","Somaliland",NA,NA,NA,NA,NA,NA,NA,NA,"Africa","Africa","Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"SDS","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,"Africa","Africa","Africa","North Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","Sub-Saharan Africa, East"
"USG","US Naval Base Guantanamo Bay",NA,NA,NA,NA,NA,NA,NA,NA,"North America","North America","North America","US","USA","North America","OECD90","North America (NAM)","North America, High Income"
"SAH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,"Africa","Africa","Africa","North Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
