"ISO3","ADMIN","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC"
"AFG","Afghanistan","Asia","Eurasia","Asia and the Pacific","South Asia","India+","Rest of South Asia","Central Asia","ASIA","South Asia (SAS)","Asia, South",21,"Rest of Central Asia","LDC","other","LLDC"
"WSB","Akrotiri Sovereign Base Area","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"ALA","Aland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"ALB","Albania","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"DZA","Algeria","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other"
"ASM","American Samoa","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"AND","Andorra","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"AGO","Angola","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",24,"Southern and East Africa","LDC","other","other"
"AIA","Anguilla","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"ATA","Antarctica","Antarctica","Antarctica","Polar","Antarctic","Antarctica",NA,NA,NA,NA,NA,NA,NA,"other","other","other"
"ATG","Antigua and Barbuda","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"ARG","Argentina","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Southern",26,"South America","other","other","other"
"ARM","Armenia","Europe","Eurasia","Europe","Eastern Europe","Russia+","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Asia, Central",25,"Europe","other","other","LLDC"
"ABW","Aruba","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"Ashm","Ashmore and Cartier Islands","Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia",10,"Australia","other","other","other"
"AUS","Australia","Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia",10,"Australia","other","other","other"
"AUT","Austria","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"AZE","Azerbaijan","Europe","Eurasia","Europe","Eastern Europe","Russia+","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Asia, Central",25,"Europe","other","other","LLDC"
"BHR","Bahrain","Asia","Eurasia","West Asia","Arabian Peninsula","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","SID","other"
"BGD","Bangladesh","Asia","Eurasia","Asia and the Pacific","South Asia","India+","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, South",19,"Rest of South Asia","LDC","other","other"
"BRB","Barbados","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"KAB","Baykonur Cosmodrome","Europe","Eurasia","Europe","Eastern Europe","Russia+","Russia","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",3,"Russia","other","other","other"
"BLR","Belarus","Europe","Eurasia","Europe","Eastern Europe","Ukraine+","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",25,"Europe","other","other","other"
"BEL","Belgium","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"BLZ","Belize","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Caribbean",27,"Central America","other","SID","other"
"BEN","Benin","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other"
"BMU","Bermuda","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","other","other"
"BTN","Bhutan","Asia","Eurasia","Asia and the Pacific","South Asia","India+","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, South",19,"Rest of South Asia","LDC","other","LLDC"
"BOL","Bolivia","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Andean",26,"South America","other","other","LLDC"
"BIH","Bosnia and Herzegovina","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"BWA","Botswana","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","LLDC"
"BRA","Brazil","South America","South America","Latin America and the Caribbean","South America","Brazil","Brazil","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Tropical",7,"Brazil","other","other","other"
"IOT","British Indian Ocean Territory","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"VGB","British Virgin Islands","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"BRN","Brunei","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia Pacific, High Income",20,"Rest of East Asia","other","other","other"
"BGR","Bulgaria","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"BFA","Burkina Faso","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","LLDC"
"BDI","Burundi","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC"
"KHM","Cambodia","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, Southeast",20,"Rest of East Asia","LDC","other","other"
"CMR","Cameroon","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other"
"CAN","Canada","North America","North America","North America","Canada","Canada","Canada","North America","OECD90","North America (NAM)","North America, High Income",9,"Canada","other","other","other"
"CPV","Cape Verde","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","SID","other"
"CYM","Cayman Islands","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","other","other"
"CAF","Central African Republic","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","LDC","other","LLDC"
"TCD","Chad","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","LLDC"
"CHL","Chile","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Southern",26,"South America","other","other","other"
"CHN","China","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","China+","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, East",1,"China","other","other","other"
"CLP","Clipperton Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COL","Colombia","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",26,"South America","other","other","other"
"COM","Comoros","Africa","Africa","Africa","Western Indian Ocean","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","SID","other"
"COK","Cook Islands","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"CSI","Coral Sea Islands","Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia",10,"Australia","other","other","other"
"CRI","Costa Rica","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"HRV","Croatia","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"CUB","Cuba","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"CUW","Curacao","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","other","other"
"CYP","Cyprus","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"CNM","Cyprus No Mans Area","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"CZE","Czech Republic","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"COD","Democratic Republic of the Congo","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","LDC","other","other"
"DNK","Denmark","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"ESB","Dhekelia Sovereign Base Area","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"DJI","Djibouti","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other"
"DMA","Dominica","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"DOM","Dominican Republic","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"TLS","East Timor","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Indonesia+","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast",11,"Indonesia","other","other","other"
"ECU","Ecuador","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Andean",26,"South America","other","other","other"
"EGY","Egypt","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other"
"SLV","El Salvador","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"GNQ","Equatorial Guinea","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","LDC","other","other"
"ERI","Eritrea","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other"
"EST","Estonia","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",25,"Europe","other","other","other"
"ETH","Ethiopia","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC"
"FLK","Falkland Islands","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Southern",26,"South America","other","other","other"
"FRO","Faroe Islands","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"FSM","Federated States of Micronesia","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"FJI","Fiji","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"FIN","Finland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"PYF","French Polynesia","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"ATF","French Southern and Antarctic Lands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAB","Gabon","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","other","other","other"
"GMB","Gambia","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other"
"Gaza","Gaza","Europe","Eurasia","Europe","Western Europe","Middle East","Europe","Europe","ALM","Middle East and North Africa (MEA)","Europe, Western",25,"Europe","other","other","other"
"GEO","Georgia","Europe","Eurasia","Europe","Eastern Europe","Russia+","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Asia, Central",25,"Europe","other","other","other"
"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"GHA","Ghana","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other"
"GIB","Gibraltar","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"GRC","Greece","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"GRL","Greenland","Europe","Eurasia","Europe","Polar","Greenland","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"GRD","Grenada","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"GUM","Guam","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"GTM","Guatemala","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"GGY","Guernsey","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"GIN","Guinea","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other"
"GNB","Guinea Bissau","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","SID","other"
"GUY","Guyana","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Caribbean",26,"South America","other","SID","other"
"HTI","Haiti","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","LDC","SID","other"
"HMD","Heard Island and McDonald Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HND","Honduras","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"HKG","Hong Kong S.A.R.","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","Korea","China","East Asia","ASIA","Other Pacific Asia (PAS)","Asia Pacific, High Income",12,"China","other","other","other"
"HUN","Hungary","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"ISL","Iceland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"IND","India","Asia","Eurasia","Asia and the Pacific","South Asia","India+","India","South Asia","ASIA","South Asia (SAS)","Asia, South",6,"India","other","other","other"
"IOA","Indian Ocean Territories","Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia",10,"Australia","other","other","other"
"IDN","Indonesia","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Indonesia+","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast",11,"Indonesia","other","other","other"
"IRN","Iran","Asia","Eurasia","Asia and the Pacific","South Asia","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"IRQ","Iraq","Asia","Eurasia","West Asia","Mashriq","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"IRL","Ireland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"IMN","Isle of Man","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"ISR","Israel","Europe","Eurasia","Europe","Western Europe","Middle East","Europe","Europe","ALM","Middle East and North Africa (MEA)","Europe, Western",25,"Europe","other","other","other"
"ITA","Italy","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",15,"Italy","other","other","other"
"CIV","Ivory Coast","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other"
"JAM","Jamaica","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"JPN","Japan","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","Japan","Japan","East Asia","OECD90","Pacific OECD (PAO)","Asia Pacific, High Income",4,"Japan","other","other","other"
"JEY","Jersey","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"JOR","Jordan","Asia","Eurasia","West Asia","Mashriq","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"KAZ","Kazakhstan","Asia","Eurasia","Asia and the Pacific","Central Asia","Asia-Stan","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central",21,"Rest of Central Asia","other","other","LLDC"
"KEN","Kenya","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","other","other","other"
"KIR","Kiribati","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","LDC","SID","other"
"KNM","Korea No Mans Area","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","Korea","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, East",20,"Rest of East Asia","other","other","other"
"KOS","Kosovo","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"KWT","Kuwait","Asia","Eurasia","West Asia","Mashriq","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"KGZ","Kyrgyzstan","Asia","Eurasia","Asia and the Pacific","Central Asia","Asia-Stan","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central",21,"Rest of Central Asia","other","other","LLDC"
"LAO","Laos","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, Southeast",20,"Rest of East Asia","LDC","other","LLDC"
"LVA","Latvia","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",25,"Europe","other","other","other"
"LBN","Lebanon","Asia","Eurasia","West Asia","Mashriq","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
